ja	and
virus	virus
tutkimuslaitos	research institute
kaksikko	A twosome, group of two, duet, duo, pair.
anti	offering
loppuvuosi	the last or remaining months of a year.
pala	A piece, bit.
puheenjohtajamaa	presiding country
olympiakomitea	Olympic committee
kymppi	ten
nuoruus	youth
korkeakoulu	college, academy, university, polytechnic
teoria	theory
lääketiede	medicine
saaja	receiver
suru	sorrow
ydin	core, the central part of something
niska	nape, neck
epävarmuus	uncertainty
peruskorjaus	major overhaul, complete renovation
reuna	rim
syntymä	birth.
karhu	bear in general.
kulma	angle
lämpötila	temperature
savolainen	A Savonian person.
ydinvoima	nuclear power
ilmavoima	military force applied from the air
kapellimestari	conductor
portti	gate
elementti	element
taksi	taxi
ammattitaito	workmanship
kielto	ban, prohibition
laajentuminen	expansion
häiriö	disorder, trouble
arkipäivä	weekday
haku	search
palkkio	reward, bounty
pykälä	A notch, a dent or a nick.
suurlähettiläs	ambassador
tulva	flood
epäily	suspicion
maaperä	soil
liitto	cooperation based on common agreement, union
valtionosuus	A subsidy similar to equalization payment, but made by the national government to municipalities in order to compensate for the differences between the municipalities in demographic and economic conditions.
kehitysmaa	developing country
oppiminen	learning
sosialidemokraatti	a Social Democrat; alternative spelling of sosiaalidemokraatti.
risti	cross
sukupuoli	sex, gender
kahvila	café
koivu	birch
kunnanvaltuusto	municipal council
opisto	institute
sävellys	composition
jazz	jazz
osanottaja	A participant.
neuvo	advice
keli	weather
jännitys	excitement
puheenjohtajakausi	chairmanship
heitto	A throw.
rinta	breast
metalli	metal
nurmi	lawn, grass
pyyntö	request
stadion	stadium
suo	swamp, bog, marsh, mire
selvittäminen	The process of investigating, an investigation.
runoilija	poet
insinööri	A person who is qualified or professionally engaged in any branch of engineering, an engineer.
kärsimys	suffering, misery.
systeemi	system
hauta	grave, tomb
asetelma	A still life, as a motif of a painting.
rock	rock
ulkopolitiikka	foreign policy
vaalipiiri	constituency, electoral district
siirtäminen	transfer, transferal, conveyance, removal
viina	Liquor spirits
lenkki	A round
tyyppi	A type, kind
runkosarja	season regular season home and away season
olemassaolo	Existence.
artikkeli	An article
formula	a Formula One racing car
istunto	A session
olemus	essence
puhelu	talk, conversation; used especially in compound terms
synty	birth
rytmi	rhythm
vähemmistö	minority
yhdistelmä	A combination.
huolto	service, maintenance, upkeep, care
johtopäätös	conclusion
puuttuminen	lack
vuosikausi	"A period of about one year; used often in plural to signify years, several years or ""years and years""."
tango	tango
poistaminen	removal
yhtymä	combined
hiljaisuus	silence
kansakunta	nation
romania	The Romanian language.
sotilasliitto	A military alliance such as the NATO or the Warsaw Pact.
ruotsi	Swedish
etsintä	search
käyttäytyminen	behaviour
huhu	rumor/rumour
toteutus	Action noun of the verb toteuttaa.
varoitus	warning
viidennes	ifth
katastrofi	catastrophe
liikenneministeriö	ministry of transportation or similar ministry with another name responsible for the administration of the transportation system in a country
salaisuus	secret
identiteetti	identity
kongressi	A congress.
pulma	trouble
työehtosopimus	collective agreement, collective labor agreement
aamupäivä	morning
saha	saw
talvisota	The Winter War, fought between Finland and Soviet Union in 1939-40.
verkosto	network
kärppä	stoat, ermine, Mustela erminea
moottoritie	expressway, freeway
tarkastus	examination, inspection, supervision, survey
otsikko	heading, header, title, headline
sijainti	A situation
lentäjä	pilot, aviator, airman
liperi	lovage
alkuvaihe	early stage, early phase
tuska	Pain, distress, agony, suffering.
mielenosoittaja	demonstrator
aukko	hole
kylki	A side, as that of a human or an animal.
aita	fence
alennus	discount
puutarha	garden
tutkinta	inquest, investigation
toivo	hope
musta	black
perjantai-ilta	Friday night
suola	salt
menettely	A procedure.
sisäministeriö	ministry of the interior, ministry of internal affairs
kulku	motion, journey
vuori	A mountain
apuraha	grant
ruutu	A square
tienoo	neighbourhood, region, tract
rakentaja	builder
kolmikko	A threesome, group of three, trio.
penkki	bench
mutka	bend
osuuskunta	A cooperative.
lapsiperhe	family with children
maaherra	The highest official of lääni which is a Finnish administrative unit between the state and municipalities. Maaherra is appointed by the central government, and is usually translated as governor into English.
nurkka	corner
hedelmä	A fruit.
rauhanturvaaja	peacekeeper
liittokansleri	federal chancellor, Bundeskanzler
vesistö	water system, body of water
korjaaminen	repair
köyhä	"A poor used especially in plural: ""the poor"" = köyhät."
virolainen	An Estonian.
jokeri	A joker
pyöräilijä	A cyclist.
alho	dell vale, dale
pelisääntö	rule
lentoasema	airport
sinikka	bluebird
markkinaosuus	A market share.
tasapeli	draw, tie
puoliväli	middle
turvallisuusneuvosto	The Security Council
instituutti	institute
tiedekunta	faculty
päästö	An emission of a harmful substance such as exhaust gas.
palkankorotus	A pay raise pay rise a raiseor rise
viihde	entertainment
tähtäin	sight
yhdistyminen	unification
hius	a single hair, strand of hair
kannattavuus	profitability
lääninoikeus	Until 1999 a province-level administrative court which handled taxation-related and other administrative cases.
metsänomistaja	forest owner
nato	one’s wife’s sister
lomautus	Alayoff.
sosiaaliturva	social security
välittäjä	middleman, dealer, broker
toimikunta	task force, working group, committee
aikakausi	age, era
ilmaisu	expression
tupo	income policy agreement; a bipartiteor tripartitenational agreement on salaries and other general terms and conditions of employment, sometimes supported by the government with tax incentives or legislative measures.
kartano	A manor, mansion.
lisensiaatti	licentiate
palomies	A fireman, firefighter
todistaja	witness
kaupunginorkesteri	city orchestra
ylioppilas	An educational qualification awarded to a person that has successfully completed the upper secondary school final exam.
tuija	white cedar, red cedar, any one of the species in the genus Thuja
osallistuja	participant
saaristo	archipelago
työministeriö	The former Ministry of Labour of Finland, now part of the työ- ja elinkeinoministeriö.
uskottavuus	credibility
parannus	improvement, enchantment, betterment
opas	A guide
olympiakisat	The Olympic Games.
veronmaksaja	taxpayer
kirkonkylä	The village in a rural municipality in which the main church and the vicariate were located.
yhde	coupling
työvoimatoimisto	"A local branch of the Finnish työ- ja elinkeinoministeriöthat acts as employment agency, administrates public unemployment benefits and organizes vocational training, activation programs and counceling for the unemployed. Despite the wider scope of services they might still be called ""employment agency"" in English. The Ministry seems to prefer the term ""TE Office"" in their communication."
demari	A social democrat.
asevoima	armed forces
tshekki	Alternative spelling of tšekki.
ydinvoimala	A nuclear power station.
sisäministeri	interior minister
asu	attire, dress, suit
kolmonen	the number three
komedia	comedy
vaunu	A wagon, coach, stagecoach; often used in pluralalso of a single vehicle
loppupuoli	last half or a more vaguely defined last part of anything, like of a period of time, semester, holiday, trip etc.
elin	organ of an organism
vappu	May Day, Labor Day
kaupankäynti	trade
satakunta	Around a hundred.
kollega	colleague
muoti	vogue, fashion
vuosi	A year.
maanjäristys	earthquake
erimielisyys	disagreement
päähenkilö	protagonist, hero
päättyminen	ending
vahvistus	strengthening, consolidation
helmi	pearl
takavuosi	A year of the past; normally used in plural to denote past .
kolari	A crash, collision, especially an automobile accident.
ohjus	missile, guided missile
vanhainkoti	"nursing home, rest home, old people's home, old-age home, rest-home, old folks' home"
edeltäjä	predecessor
aalto	wave
häät	Wedding.
kuisma	"St John's wort"
urho	hero
kalastaja	fisher, fisherman
osakas	stakeholder
työskentely	work, working, effort
painopiste	centre of gravity, center of gravity, centre of mass
kirkkoherra	A middle ranking Finnish church official of higher rank than a pappibut below the rank of piisp A dean, a parson, rector
jakaminen	Sharing.
todiste	A piece of evidence; in pluralevidence
maaottelu	A match, game or contest between two national teams of any sport.
projektipäällikkö	project manager
tuoli	chair
syöpä	cancer
klassikko	classic
kohtaus	A bout, fit; an attack of disease; a seizure.
direktiivi	directive
voimala	power plant
työväenpuolue	Labour Party
helpotus	relief
länsimaa	A western country.
lukumäärä	number, count
luotto	credit
veistos	A sculpture
vapaaehtoinen	A volunteer
hylly	shelf
rahaliitto	monetary union
hallituspuolue	A political party that has one or more ministers in a given government, governing party, ruling party
lauantai-ilta	Saturday evening
vakaus	stability
varusmies	conscript,draftee.
avain	key
maanomistaja	landowner
maatila	farm
kohtelu	treatment
taajama	Apopulated community, a population centre.
arvonlisävero	A value added tax. In some countriesthis kind of tax is called goods and services tax.
juhlavuosi	year of celebration
tytäryhtiö	subsidiary
osoitus	Action noun of the verb osoittaa.
galleria	gallery
julistus	declaration, bill, decree
aikaväli	timespan, interval
piano	piano
studio	studio
vainio	A large cultivated field.
aivot	brain.
valio	An outstanding individual;a pick, choice, elite.
neste	liquid
juoma	drink
yhteenotto	A confrontation, clash, skirmish.
lähistö	vicinity, proximity, neighborhood
tukikohta	A fort
väkivaltaisuus	Violence, state of being violent
herkku	A delicacy
kyläläinen	villager
kiinteistövero	A tax based on the value of real estate. An exact English equivalent would be real estate tax but in practice property tax and millage tax are often based solely on the value of real estate.
polku	Act of treading, stomping; used only in compounds.
vasemmisto	The left.
pääsiäinen	Easter.
bakteeri	bacterium
kompromissi	compromise
nelonen	A four
prinsessa	princess
elämäntapa	lifestyle
keskiviikkoilta	Wednesday evening
kurdi	A Kurd.
saanti	supply, yield
nälkä	hunger
ehdokkuus	candidacy
loppusuora	home stretch
loppukilpailu	final
vaikuttaja	prominent figure, influential person, opinion leader, power player, mover and shaker, dignitary, muckamuck, notable, panjandrum, very important person, VIP
biisi	song
kori	basket
vihollinen	An enemy.
europarlamentaarikko	Member of the European Parliament, MEP
kanerva	heather, Callena vulgaris
rakennustyö	construction
hymy	smile
naiminen	Getting married.
tavaratalo	department store
alkaminen	starting, beginning, onset
käänne	A turn or twist, especially figuratively.
muuri	stonewall, wall
seikkailu	adventure
nykypäivä	present, present day
lappalainen	A Sami
akatemia	An academy
maanantai-ilta	Monday evening
puolustusministeriö	ministry of defense, department of defense
tiistai-ilta	Tuesday evening
kasvatus	rearing
kaupunginosa	An area within a town or city.
valikoima	assortment
vetoomus	A petition, plea.
ranta	The border of a body of water and land in general, a shore.
kalastus	fishing
draama	drama
helle	A hot place or heat.
tuomaristo	A jury
työpäivä	A workday
soitin	musical instrument
julkaisu	A publication.
ylivoima	superiority
pesä	nest
bisnes	business
temppu	trick, stunt
pitäjä	rural municipality
yritystoiminta	business
kroatia	The Croatian language.
vastine	answer
näytös	show
uinti	swimming
keräys	an act of collecting
viestintä	communication
aie	An intention, intent.
koivu	birch
edustajisto	body of delegates, representatives
esittely	exhibition, show
muna	"hen's egg"
repo	A fox
matematiikka	mathematics
ravinto	"A ""technical"" term for food and fodder; nutrition, nourishment, nutriment."
innostus	enthusiasm
köyhyys	poverty
väärinkäytös	abuse
optio	Option
syytetty	The accused, defendant.
harju	esker; in colloquial language also a terminal moraine.
vapauttaminen	liberation
verta	match currently mostly used in a number of idiomatic expressions.
tielaitos	public roads authority, public roads administration
naapurimaa	neighboring country
säilyminen	preservation
kunnostus	refurbishment
jazz	jazz
potti	pot
vaihtelu	variation
läheinen	A close relative.
savu	Smoke.
kriteeri	criterion
kuningatar	queen
reissu	A trip
apteekki	pharmacy, drugstore
maahanmuuttaja	immigrant
pätkä	shorty, shortie
harmi	harm
rikkominen	breaking
esiopetus	preschool education, pre-primary education, preschooling
harkinta	consideration, deliberation
metsästys	hunting
musikaali	A musical
blues	blues
järistys	quake
keho	A living human body.
puoluesihteeri	party secretary
rauhanneuvottelu	peace talks, peace negotiations
markkinatalous	market economy
kallio	"Rock, as the aggregate of solid mineral matterthat constitutes a significant part of the earth's crust."
vire	A light breeze or the small, disappearing waves on top of water produced by a breeze.
kangas	Cloth, fabric or textile
levottomuus	restlessness
nenä	nose
esimies	boss, manager, superior
yksimielisyys	unanimity
tuntemus	feeling, sensation, vibe
varaus	reservation
etäisyys	distance
ruuhka	A jam
sähköposti	e-mail, electronic mail
kaasu	gas
prinssi	A prince
yhtiökokous	"shareholders' meeting"
euroalue	Eurozone
iho	skin of a human being
kangas	Cloth, fabric or textile
kesäteatteri	summer theatre
kuorma-auto	truck
osinko	A dividend
pako	flight
bensiini	gasoline petrol
alkuviikko	The beginning of a week, usually understood to include Monday and Tuesday.
kohu	sensation, hullabaloo, brouhaha, scandal
vahvistaminen	strengthening
vammainen	disabled person, handicapped person
varkaus	theft
käyttöönotto	commissioning
raunio	A ruin.
juutalainen	A Jew.
poro	A semi-domesticated reindeer of the subspecies Rangifer tarandus tarandus
toimeentulotuki	income support, supplementary benefit
vallankumous	revolution
antaminen	giving; allowing; presenting, donating; issueing.
lehtori	lecturer
muuttoliike	migration
neliömetri	square metre
upseeri	military officer
yhteisymmärrys	Mutual understanding.
bruttokansantuote	gross domestic product
perintö	heritage
poikanen	little boy
toimihenkilö	official, clerk
tulija	comer
palsta	lot, plot, parcel of land
tasku	pocket
muistomerkki	A memorial
vilja	grain, cereal
tunnus	marking
hallinto-oikeus	An Administrative Court.
laituri	A pier, wharf, quay, dock, mole.
talouspolitiikka	economic policy
aluepolitiikka	regional policy
lyönti	A hit.
liikenneministeri	minister of transport
tulokas	newcomer
aino	Ainu
lakimies	A jurist or a lawyer
paavi	pope
elinkeino	livelihood, living
riemu	joy, elation, glee
tarmo	energy, vigour
ratkaiseminen	solving
ahti	An act in the passion play.
kesäloma	summer vacation
fani	fan
vaalikampanja	electioneering
käsityö	handwork
laboratorio	A laboratory
punainen	The color red.
rima	lath
tupakointi	smoking
keskittyminen	centralization
arvokisa	A top-level sports event such as the Olympic Games, World Championship games or national championships in some sports; no single clearly established English equivalent.
market	Alternative form of marketti.
annos	portion
kuntoutus	rehabilitation
nosto	lift
lähetystö	delegation
patsas	A statue.
lehti	leaf
varis	hooded crow, grey crow, Corvus cornix
yleisradio	public broadcasting company
sairaanhoitaja	nurse
rikollinen	A criminal.
luxemburg	The Luxembourgish language.
sisar	sister
kontakti	contact
johtaminen	lead, conduct, governance
siemen	The seed of a plant.
käyttäminen	use
laajuus	scope, extent
lahjoitus	donation
äidinkieli	A mother tongue, or the native language. Hän puhuu äidinkielenään englantia. He is a native speaker of English.
aatto	eve
vastaväittäjä	examiner
verottaja	tax collector, taxman
viulu	violin
kansantalous	national economy
päämaja	base
tärkeys	importance
runko	trunk
meijeri	dairy, milk processing plant.
oikeusasiamies	ombudsman
rekisteri	A register, a formal recording.
oululainen	A person from, or an inhabitant of, Oulu
tehokkuus	effectivity, effectiveness
moraali	Morals
saneeraus	A renovation.
bulgaria	The Bulgarian language.
persoona	person, grammatical person
pohjavesi	groundwater
tunneli	A tunnel.
allas	pool, tank
konsultti	A consult.
hintataso	price level
sokeri	sugar
armo	grace
salkku	briefcase, portfolio
konflikti	A conflict
alakerta	A lower store; downstairs.
esikuva	example, paragon, role model
itä	east, one of the cardinal points of the compass
kaukalo	A trough or a manger
arkkipiispa	archbishop
lause	clause
työmaa	worksite
massa	mass
seuranta	tracking, monitoring
tanskalainen	Dane, Danish
kitara	guitar
lohi	A salmon.
valtuus	authorization
piikki	A spike
teltta	a tent
vastapaino	counterweight, counterbalance
laatikko	box
tappara	axe, battle axe
mittaus	measurement
oja	ditch, trench
vähennys	decrease
kortteli	"A block or city block Kävelen vain korttelin ympäri. I'm just going for a walk around the block."
epäonnistuminen	A failure.
säännös	sanction
seksi	sex
polkupyörä	bicycle.
visio	vision
reaktio	A reaction.
retki	trip
lähialue	vicinity
vuosikate	annual contribution margin
pianisti	pianist
suurlähetystö	embassy
media	media
slovenia	The Slovenian language.
ostos	purchase
petos	fraud
turvapaikka	asylum, safe haven, refuge, haven
terveysministeriö	ministry of health
määräaika	deadline, time limit
pussi	bag, pouch, sac
varas	Thief.
viiva	A line
tilinpäätös	financial statement
kauhu	Horror, terror, dread.
valtiovalta	government, state
klubi	club
taktiikka	tactic, tactics
tuominen	A gift or souvenir given by visitors or someone returning from a travel.
uimahalli	swimming pool
liikemies	businessman
rohkeus	courage, bravery
tukija	supporter
vuori	A mountain
toimija	actor, agent
karjala	The Karelian language; a Finno-Ugric language spoken by about 100,000 people in Karelia. It is closely related to Finnish.
syvyys	depth
kauneus	beauty
työttömyysaste	unemployment rate
gramma	gram
kotikaupunki	hometown
lukeminen	reading
oikeusministeri	Minister of justice;attorney general
kuulustelu	an interrogation
rautatie	railroad
toimeentulo	A livelihood, subsistence or living
ylilääkäri	senior physician
alko	A liquor store, bottle shop
kioski	A kiosk
kuski	Driver.
masennus	depression
lavastus	set
leijona	A lion, Panthera leo.
toimivuus	operability
lukko	lock
melu	noise
sisällissota	The Finnish Civil War of 1918.
vaaliliitto	electoral alliance
joulupukki	Santa Claus
ranskalainen	A Frenchman or a Frenchwoman.
tietoyhteiskunta	information society
hälytys	alarm
kustannusarvio	budget
avoimuus	sincerity
hassi	blunder
sunnuntai-ilta	Sunday evening
maantie	road
valmistuminen	graduation
vuorovaikutus	interaction
jatkuminen	continuation
itsemurha	suicide
liittovaltio	A federation; commonwealth, union Australian liittovaltio = Commonwealth of Australia Bahaman liittovaltio = Commonwealth of the Bahamas Dominican liittovaltio = Commonwealth of Dominica Mikronesian liittovaltio = Federated States of Micronesia Pohjois-Mariaanien liittovaltio = Commonwealth of the Northern Mariana Islands liittovaltion tila -puhe = State of the Union address
yhteisövero	corporate tax
maa	earth
keksintö	invention
resepti	A prescription
uusinta	rerun
törmäys	impact, crash
muuttuminen	change, changing
oikeusministeriö	the Ministry of Justice;the Department of Justice.
estäminen	prevention
mielikuvitus	Imagination.
traktori	A tractor
metsätalous	forestry
valtti	trump
yksityistäminen	privatization
leviäminen	spreading
haastaja	challenger
jumala	A god.
europarlamentti	European Parliament
merkintä	marking
motiivi	motive
tunto	touch
mummo	A grandma
raati	jury
rauhanturvajoukko	peacekeeping force
kantaesitys	premiere
sieni	A fungus.
hyödyntäminen	exploitation
portaat	steps
tuttava	acquaintance
huoltoasema	service station, gas station, petrol station, filling station
kesämökki	summer cottage
jäähy	In sauna bathing, a cooling period between sessions in the hot room.
haju	smell, whiff
ryöstö	robbery
suvi	summer
kustantaja	publisher
urheilija	A sportsman or sportswoman.
alkuperä	origin
lakkauttaminen	abolition
työkalu	tool.
keskusjärjestö	central organization
ateria	meal
aukio	plaza, square
itsetunto	self-esteem
vietnam	The Vietnamese language.
kesto	durability
kuvaaja	photographer
asiantuntemus	expertise
makkara	sausage
puuha	chore, work, trouble, undertaking
kynttilä	candle
itseluottamus	self-confidence
otava	A kind of fish trap.
saksa	The German language.
voitto	victory, win
erikoiskoe	special stage
yhteistoiminta	cooperation
pommi-isku	bomb strike
profiili	profile
keula	The bow of a boat or a ship.
sänky	bed
jätevesi	sewage, wastewater
islanti	The Icelandic language.
luonnos	sketch, draft
vastustus	resistance, opposition
pohjoisosa	northern part
kriitikko	critic
kaula	neck
sisätila	interior
syli	a measure of distance between two outstretched arms, similar to one fathom
manageri	manager
syytös	Accusation, charge, allegation, crimination, recrimination.
turma	accident
tutkiminen	study, studying
palveluala	service industry
nauru	Laughter, laugh.
jarru	brake
satanen	A hundred
seteli	bill, banknote, note
vuokra-asunto	rented flat, rented apartment, rental apartment, lodgings
vartija	guard
neuvottelukunta	advisory board
vaihtuminen	replacement
kehä	circle, ring
kuve	waist
kynsi	fingernail, toenail, nail
valokuvaaja	photographer
puhdistus	A cleansing.
voimalaitos	power plant
alaisuus	state of being subordinate; no direct English equivalent
laakso	valley
lammas	sheep
rasva	fat
kotiseutu	home
maraton	A marathon.
muslimi	A Muslim
tutkimuskeskus	research center
painostus	pressure, heat
luu	bone
plussa	plus sign
työnteko	working
heikkous	A weakness
kapasiteetti	capacity
osuuspankki	credit union
eläminen	living
muotoilu	design
sika	pig
takaa-ajo	chase, pursuit
asetus	decree, commandment, edict; ordinance, rule.
jännite	voltage
sanoma	A message, communication
työreformi	labor reform
navetta	A cowshed, designed and built for keeping animals, especially cows.
henry	henry
matto	carpet
palestiinalainen	A Palestinian.
terttu	cluster
ulkonäkö	look, appearance, semblance
epäilys	suspicion
kasvattaminen	raising
ylläpito	upkeep
areena	arena
läsnäolo	presence
valmennus	coaching
aika-ajo	qualification; often used in plural
erikoissairaanhoito	special health care
kuutiometri	cubic metre
poliisilaitos	police department
sarjakuva	comics, artistic medium
sinfonia	symphony
luettelo	catalogue
juoni	plot, design
murhe	sorrow
pilvi	cloud
lehdistötilaisuus	press conference
ruusu	rose
sponsori	sponsor
kaavoitus	zoning, town planning
linna	fortress, castle, stronghold
panostus	investment
selonteko	report, especially an official one given by the government to the parliament
nimimerkki	A pen name, alias
instituutio	institution
sorsa	A duck, a bird of the Anatidae family.
torni	tower
virolainen	An Estonian.
tiainen	a tit
lakiesitys	bill
laajeneminen	expansion
indeksi	index
konservatorio	conservatory
metsästäjä	A hunter.
startti	start
velvoite	obligation, commitment
sävel	melody, tune
hyväksyntä	approval
menestyminen	success
nolla	digit zero
punta	pound
touhu	bustle, hustle, fuss
mainonta	advertising
vihje	tip
kasvukeskus	center of growth
keski-ikä	middle age
toimintatapa	way of acting
seurue	A group, party.
aate	An ideology.
ihmiskunta	humankind, mankind
toivomus	wish
vaja	hut
tarkkuus	accuracy, precision
tilastokeskus	A national authority for collecting and compiling statistics on various fields of society and economy. The English terminology varies by country: see United States Census Bureau, Statistics Canada, Australian Bureau of Statistics, Office for National Statistics The Finnish Tilastokeskus is officially Statistics Finland in English.
mietintö	report
kansliapäällikkö	chief of staff
leima	stamp
huonekalu	A piece of furniture Sinulla on kivat huonekalut. You have nice furniture. Huoneessa oli vain muutamia huonekaluja. There were only a few pieces of furniture in the room.
yrittäjyys	entrepreneurship
käytävä	A corridor.
radio	radio
tarkastaja	inspector, supervisor, superintendent
aviomies	A husband
reikä	hole
aktiivisuus	activity
kaupungintalo	city hall, town hall
veroprosentti	tax rate
oleminen	Being.
lentoyhtiö	An airline.
turvallisuuspolitiikka	security politics, security policy
vankeusrangaistus	A prison sentence.
meri	sea
mäki	A hill smaller than vuori
peili	A mirror.
työmarkkinajärjestö	labor market organization
uuni	oven
viha	anger, fury, rage, wrath, ire
kuori	shale
haltija	occupant often used as head of compound term: toimenhaltija, viranhaltija
käsky	An order, command, commandment, dictation, behest.
rautio	smith
tuomiokirkko	cathedral
tiedotus	advice, information, guidance
pohdinta	deliberation, consideration, pondering
savo	The Savonian dialect of Finnish.
terroristi	terrorist
kansalaisjärjestö	non-governmental organization
kaatuminen	upset
keskusta	A centre of a town or a city.
koski	rapid
vitsi	A joke.
aamuyö	small hours
klinikka	clinic
peruspalvelu	Those government services which are considered to serve the basic human needs, usually understood to include health and social services.
tyytyväisyys	satisfaction
hitti	Hit, success.
hiekka	sand
kansallispuisto	national park
vastus	resistor
byrokratia	bureaucracy
nahka	leather
rautatieasema	railroad station, railway station
koripallo	basketball
sipuli	any member of the genus Allium
tasoitus	leveling
elimistö	body
hilkka	bonnet
muovi	plastic
peliaika	playing time
tshetsheeni	Alternative spelling of tšetšeeni.
asemakaava	A city plan or town plan, which shows in detail each lot, positioning of buildings on the lot, traffic areas etc.
lähettiläs	emissary
lampi	pond
varatoimitusjohtaja	deputy managing director deputy president
enkeli	angel
sattuma	chance, coincidence, happenstance
vessa	toilet
arkkitehtuuri	architecture
hattu	hat
huomautus	A comment.
kävely	walk
kuntaliitos	municipal merger
pikkupoika	A little boy.
uusiminen	renewal
vastalause	protest
ikäihminen	A politically correct term for an old person.
lemmikki	pet
porkkana	Carrot.
syrjä	edge
eurooppalainen	A European.
kansanpuolue	"people's party"
silminnäkijä	eyewitness
alamäki	decline, declivity
komisario	The lowest officer rank in Finnish police, above ylikonstaapeli and below ylikomisario, roughly equal to lieutenant in the U.S. and inspector in the UK.
muistutus	reminder, note
saavuttaminen	attainment, accomplishment, satisfaction
avaruus	space
hermo	A nerve.
kansa	people.
keihäs	spear
todistus	certificate
päämies	client
venäjä	Russian
näky	vision
rauta	iron
senaatti	A senate.
blues	blues
huoneisto	apartment, flat, dwelling
rasti	diagonal cross
taidemuseo	art museum
jalankulkija	Pedestrian.
rauhanprosessi	peace process
risti	cross
virpi	sprig
kuvataiteilija	visual artist
osastopäällikkö	department chief
eteläosa	southern part
vastaanottokeskus	A facility run by the Ministry of Interiorthat accommodates arriving refugees and asylum seekers, officially translated into English as reception centre.
parveke	balcony
taideteos	artwork, work of art
sijainen	substitute
takki	jacket
fysiikka	physics
agentti	agent
syrjäytyminen	marginalization
hakkuu	logging
honka	A large pine tree with a straight trunk.
humala	hop
perustaja	founder
tiepiiri	"A former regional organizational unit of Finland's Ministry of Transport and Communications, which was responsible for maintenance and construction of roads in its designated area. The term is no longer in official use as their tasks have been transferred to the ELY-keskus."
hissi	elevator, lift
vaurio	damage
arvosana	A grade, score, rating.
maatalousministeri	minister of agriculture
ylijäämä	A surplus.
vaalitulos	poll results, election results
tuleminen	coming
kertoma	factorial
myrkky	poison
nappi	button
tilastokeskus	A national authority for collecting and compiling statistics on various fields of society and economy. The English terminology varies by country: see United States Census Bureau, Statistics Canada, Australian Bureau of Statistics, Office for National Statistics The Finnish Tilastokeskus is officially Statistics Finland in English.
itsenäisyyspäivä	Independence Day
kotisivu	home page
suunnistus	orienteering
symboli	A symbol.
äänestysprosentti	polling percentage
tietoverkko	data network
pohjoismaa	A Nordic country.
jumalanpalvelus	service, divine service, worship
ylijohtaja	director-general
artisti	artist
nauha	ribbon, band, string
kauppahinta	The final price at which a deal is concluded; used normally of items such as property for which the price is negotiated individually.
rakennusala	construction, construction branch, construction business
toimitila	business premises
hävittäjä	Destroyer, someone/something that destroys someone/something.
sitoutuminen	commitment
kirjain	A character, letter.
korruptio	corruption
asutus	settlement
diplomaatti	diplomat
viljely	culture, cultivation
vesilaitos	water works
kypärä	helmet
muodostaminen	formation
viisaus	wisdom
myöntäminen	admittance
valtionyhtiö	state-owned company
ystävyys	friendship
kivi	stone
asuinalue	residential area
eversti	colonel
pääasia	main thing, main issue, central point
rupla	ruble
ajokortti	"A driver's license, driving license."
takuu	guarantee
murre	dialect
puolivälierä	A quarterfinal.
vääntö	twist, torsion
kansalaisopisto	A learning institution resembling a community college, providing adult education in a wide variety of topics. The programs are open for everyone, usually for a small fee.
vaikute	influence
koru	A piece of jewellery.
pinta-ala	area
geeni	gene
kosketus	A touch
käytös	Behaviour/behavior.
sisarus	sibling
mantere	Alternative form of manner.
ilmasto	climate
toimipiste	place of business
väsymys	exhaustion, fatigue
taival	passage
kuivuus	dryness
rahoittaja	financier
tartunta	contagion
loppuminen	ending
lähitulevaisuus	near future
tietoisuus	consciousness
erikoisuus	specialty
espanjalainen	A Spanish person.
hallitusneuvottelu	government formation talks
maksa	liver
vainaja	a dead person, a departed,mies~ = the late husband;a deceased, decedent.
kierrätys	rotation
kultamitali	gold medal
kaivo	well
kurki	crane, Grus grus
piilo	hideout, lair
varuskunta	garrison
epäkohta	grievance
ihmissuhde	relationship
takaisku	Setback.
valkoinen	A white colour.
luovuus	creativity
haava	wound, sore
pelinjohtaja	game leader
jäsenvaltio	member state
varuste	A piece of equipment; accessory.
kaappi	cabinet
tennis	tennis
lihas	muscle
mylly	mill
pidätys	arrest, seizure
syntymäpäivä	annual birthday
talouskriisi	economic crisis
lähiö	suburb
maailma	The Earth.
intohimo	Passion, fervour/fervor.
maila	A tool used to handle the ball in various ball games. The translation into English depends on the kind of tool used in the particular game. Examples:
tammi	oak
analyysi	analysis
areena	arena
pieli	jamb, post
tarkastelu	examination, inspection
painos	edition
vierailija	visitor
pakkaus	package
askele	Alternative form of askel.
asuntolaina	mortgage
esite	leaflet, brochure
nuori	A young person,youth.
hautajaiset	A funeral, memorial service; wake.
konservatiivi	A conservative
teollisuusmaa	developed country
naama	face
taloyhtiö	condominium
edustus	representation
opetusministeri	minister of education, secretary of education
pelikielto	suspension
vaikutelma	impression
kontio	bear
motivaatio	motivation
pihapiiri	courtyard, court
juoksija	runner
skandaali	scandal
virkailija	clerk
keskiaika	The Middle Ages.
poika	boy
voittaminen	winning
vuodenaika	season
maanosa	continent
puoluehallitus	board of a party
valo	light
mauste	flavoring/flavouring, seasoning, flavor/flavour
osakeyhtiö	limited liability company
trendi	trend
kellari	A cellar
säädös	statute
yleissitovuus	Of a collective bargaining agreement, the quality of being universally binding, i.e. binding all employers in a given branch of economic activity.
jakelu	distribution
